,Coin Pair,Price Difference,Percent Difference,Price Average,Cheap Exchange,Expensive Exchange,Min,Max
0,litecoin-ethereum,4.86658981,184.65089380571624,2.6355625525,bittrex,xbtce,0.19607019,5.06266
1,bytecoin-bitcoin,1.3000000000000003e-07,24.86293510136428,5.228666666666667e-07,cryptopia,poloniex,4.8e-07,6.1e-07
2,dash-bitcoin,0.000404279999999993,0.5811923238688353,0.06956045071428571,bitfinex,cryptopia,0.06925,0.06965428
3,ethereum-bitcoin,0.0011042799999999992,1.3358763388946047,0.08266333999999999,cryptopia,bitfinex,0.08179572,0.0829
4,monero-bitcoin,0.00013371000000000043,0.8633329034209698,0.015487652500000003,cryptopia,bittrex,0.01541629,0.01555
5,iconomi-bitcoin,5.5000000000000144e-05,4.755728491137064,0.0011565,kraken,hitbtc,0.001125,0.00118
6,ethereum-bitcoin,0.001355320000000007,1.63850498104054,0.08271686785714284,cryptopia,kraken,0.08161368,0.082969
7,zcash-bitcoin,0.0005235100000000048,0.679185063118089,0.07707913916666669,cryptopia,bittrex,0.07681863,0.07734214
8,monero-bitcoin,0.00013371000000000043,0.8629545722603469,0.015494442500000002,cryptopia,bittrex,0.01541629,0.01555
9,ethereum classic-ethereum,0.0003753800000000085,0.5335721980286001,0.07035224125,bittrex,poloniex,0.07021113,0.07058651
10,ethereum-bitcoin,0.0011682500000000096,1.4120931662789329,0.08273179333333332,cryptopia,bittrex,0.08199775,0.083166
11,iconomi-bitcoin,5.000000000000013e-05,4.318721658389128,0.00115775,kraken,hitbtc,0.00113,0.00118
12,augur-bitcoin,8.18899999999994e-05,1.0791158339724403,0.00758862,poloniex,cryptopia,0.00755877,0.00764066
13,monero-bitcoin,7.963999999999888e-05,0.5141834918626549,0.015488634166666666,cryptopia,hitbtc,0.01541636,0.015496
14,ripple-bitcoin,3.800000000000065e-07,0.5318330044366161,7.1451e-05,bittrex,bitfinex,7.125e-05,7.163e-05
15,zcash-bitcoin,0.0007650399999999946,0.9894817979681607,0.07731723833333333,cryptopia,poloniex,0.07681863,0.07758367
